partyfacts_id,hex
8757,#DC241F
3784,#DC241F
3559,#DC241F
7281,#DC241F
3749,#DC241F
6199,#DC241F
1680,#DC241F
7277,#DC241F
2289,#DC241F
5546,#DC261B
8005,#DC2A2A
120,#DC2C22
1403,#DD0000
1,#DD0000
4363,#DD0000
7162,#DD0000
6759,#DD0000
8403,#DD0000
5391,#DD0000
5124,#DD0000
4354,#DD0000
1251,#DD0000
5488,#DD0000
299,#DD0000
1253,#DD0000
1338,#DD0000
8410,#DD0000
4734,#DD0000
2124,#DD051D
17,#DD1100
8500,#DD232C
3156,#DD391F
5749,#DD6284
409,#DDDD00
1533,#DDFFDD
523,#DDFFDD
4174,#DDFFDD
5198,#DDFFDD
3681,#DDFFDD
1354,#DDFFDD
4373,#DE0000
8006,#DE002B
698,#DE007B
5768,#DE144A
4316,#DE144A
6996,#DE2559
912,#DE3163
6918,#DE3533
424,#DE3533
6915,#DE3533
6917,#DE3533
5339,#DE3938
4384,#DF0024
529,#DF0101
131,#DF0174
1234,#DF111A
3848,#DF424D
